ablatives	ablative:ablative_A s:+PL
abounded	abound:abound_V ed:+PAST
abrogate	abrogate:abrogate_V
abusing	ab:ab_p us:use_V ing:+PCP1
accents'	accent:accent_N s:+PL ':+GEN
accorded	accord:accord_V ed:+PAST
actions	act:act_V ion:ion_s s:+PL
actress'	act:act_V r:or_s ess:ess_s ':+GEN
adder's	adder:adder_N 's:+GEN
adultery	adult:adulterer_N ery:ery_s
adversaries	advers:adverse_A ari:ary_s es:+PL
aegis's	aegis:aegis_N 's:+GEN
aesthete	aesthete:aesthete_N
aggrandizement	ag:ag_p grand:grand_A ize:ize_s ment:ment_s
agreeing	agree:agree_V ing:+PCP1
agronomy	agronomy:agronomy_N
ahead	a:a_p head:head_N, a:a_p head:head_N
aides-memoire	aides-memoire:aide-memoire_N ~:+PL
aims	aim:aim_V s:+PL, aim:aim_V s:+3SG
airline	air:air_N line:line_N
alarm's	alarm:alarm_N 's:+GEN
alchemists	alchem:alchemy_N ist:ist_s s:+PL
alongside	a:a_p long:long_A side:side_N, a:a_p long:long_A side:side_N
amalgams	amalgam:amalgam_N s:+PL
ame	ame:AmE
ameliorate	ameliorate:ameliorate_V
amhara	amhara:Amhara_N
amnesia's	amnesia:amnesia_N 's:+GEN
ampere	ampere:ampere_N
analyst	anal:analysis_N ~:yse_s yst:yst_s
anarchists	anarch:anarchy_N ~:ism_s ist:ist_s s:+PL
anatomy	anatomy:anatomy_N
andante's	andante:andante_A 's:+GEN
angelica's	angelica:angelica_N 's:+GEN
animation's	animat:animate_A ion:ion_s 's:+GEN
annotations	an:an_p not:note_N at:ate_s ion:ion_s s:+PL
anorexia	anorexia:anorexia_N
antenna	antenna:antenna_N
anthropological	anthrop:anthropo_p olog:ology_s ical:ical_s
apart	a:a_p part:part_N, a:a_p part:part_N
appending	append:append_V ing:+PCP1
arbitrariness'	arbitr:arbiter_N ari:ary_s ness:ness_s ':+GEN
arbitration's	arbitrat:arbitrate_V ion:ion_s 's:+GEN
archways	arch:arch_N way:way_N s:+PL
armour-clad	arm:arm_V our:our_s -:~ clad:clad_A
asses'	ass:ass_N es:+PL ':+GEN
assets	asset:asset_N s:+PL
atomize	atom:atom_N ize:ize_s
attendants	attend:attend_V ant:ant_s s:+PL
attenuating	attenuat:attenuate_V ing:+PCP1
attitude's	attitude:attitude_N 's:+GEN
attorney	attorn:attorn_V ey:ey_s
augmented	augment:augment_V ed:+PAST
authors	author:author_N s:+PL
babel's	babel:babel_N 's:+GEN
babus	babu:babu_N s:+PL
baccalaureate	baccalaureate:baccalaureate_N
backbencher	back:back_A bench:bench_N er:er_s
bagpipes	bag:bag_N pipe:pipe_N s:+PL, bag:bag_N pipes:pipes_N
bailed	bail:bail_N ed:+PAST
bandage	band:band_N age:age_s, band:band_N age:age_s
banquets	banquet:banquet_N s:+PL, banquet:banquet_N s:+3SG
banshees	banshee:banshee_N s:+PL
bashfully	bashful:bashful_A ly:ly_s
batsman's	bat:bat_N s:s_s man:man_N 's:+GEN
batsmen	bat:bat_N s:s_s men:man_N ~:+PL
battery	battery:battery_N
bays	bay:bay_V s:+PL, bay:bay_V s:+3SG
bearer	bear:bear_V er:er_s
bearings'	bearing:bearing_V s:+PL ':+GEN, bearings:bearings_N ':+GEN
bearskins	bear:bear_N skin:skin_N s:+PL
beating's	beating:beating_V 's:+GEN
beauticians'	beaut:beauty_N ician:ician_s s:+PL ':+GEN
begets	be:be_p get:get_V s:+3SG
beginner's	beginn:begin_V er:er_s 's:+GEN
behaves	behave:behave_V s:+3SG
beheld	beheld:behold_V ~:+PAST
benefactor's	benefactor:benefactor_N 's:+GEN
biceps	biceps:biceps_N
bilinguals	bi:bi_p lingual:lingual_A s:+PL
bit	bit:bite_V ~:+PAST, bit:bit_N
bite	bite:bite_V, bite:bite_V
blabber	blabb:blab_V er:er_s
blimpish	blimp:Colonel_Blimp_N ish:ish_s
blinkers	blink:blink_V er:er_s s:s_s
blinks	blink:blink_V s:+PL, blink:blink_V s:+3SG
boarder's	board:board_N er:er_s 's:+GEN
bock	bock:bock_N
bolshevism's	bolshev:Bolshevik_N ism:ism_s 's:+GEN
bondholder's	bond:bond_N hold:hold_V er:er_s 's:+GEN
bonniest	bonni:bonny_A est:+SUP
boogie	boogie:boogie_N
bouncers'	bounc:bounce_V er:er_s s:+PL ':+GEN
bourse's	bourse:bourse_N 's:+GEN
bowels'	bowel:bowel_N s:+PL ':+GEN, bowels:bowels_N ':+GEN
bowler	bowl:bowl_N er:er_s, bowler:bowler_N
bows'	bow:bow_N s:+PL ':+GEN, bow:bow_V s:+PL ':+GEN
braggadocio	braggadocio:braggadocio_N
bravura	bravura:bravura_N
breadwinner	bread:bread_N winn:win_V er:er_s
breakfasted	break:break_V fast:fast_V ed:+PAST
breathy	breath:breath_N y:y_s
breech	breech:breech_N
bringing	bring:bring_V ing:+PCP1
briskness	brisk:brisk_A ness:ness_s
broadminded	broad:broad_A mind:mind_N ed:ed_s
buffalo's	buffalo:buffalo_N 's:+GEN
buffeted	buffet:buffet_V ed:+PAST
buffets	buffet:buffet_V s:+PL, buffet:buffet_V s:+3SG
buildings'	building:building_V s:+PL ':+GEN
bulky	bulk:bulk_N y:y_s
bulldozers'	bull:bull_N doz:doze_V er:er_s s:+PL ':+GEN
bullshit	bull:bull_N shit:shit_V, bull:bull_N shit:shit_V, bullshit:bullshit
bump's	bump:bump_V 's:+GEN
bungles	bungle:bungle_V s:+PL, bungle:bungle_V s:+3SG
bunkhouses	bunk:bunk_N house:house_N s:+PL
business'	busi:busy_A ness:ness_s ':+GEN
cabal's	cabal:cabal_N 's:+GEN
cable's	cable:cable_N 's:+GEN
caddie	caddie:caddie_N, caddie:caddie_V
carcinogens	carcino:carcinoma_N gen:gen_s s:+PL
carded	card:card_N ed:+PAST
cardinal's	cardinal:cardinal_A 's:+GEN
cardinals'	cardinal:cardinal_A s:+PL ':+GEN
caricaturists	caricatur:caricature_N ist:ist_s s:+PL
carpetbagger	carpetbagger:carpetbagger_N
carriage	carri:carry_V age:age_s
carriages	carri:carry_V age:age_s s:+PL
carton	carton:carton_N
castrates	castrate:castrate_V s:+3SG
casually	casual:casual_A ly:ly_s
cat-o'-nine-tails	cat-o'-nine-tails:cat-o'-nine-tails_N
catastrophe	catastrophe:catastrophe_N
catechisms	catechism:catechism_N s:+PL
cathode	cathode:cathode_N
ceaseless	cease:cease_V less:less_s
celery	celery:celery_N
centuries	centuri:century_N es:+PL
cereal's	cereal:cereal_N 's:+GEN
cerebrum	cerebrum:cerebrum_N
chain-gang	chain:chain_N -:~ gang:gang_N
chairwoman's	chair:chair_N woman:woman_N 's:+GEN
chancellor	chancellor:chancellor_N
chaperoning	chaperon:chaperon_N ing:+PCP1
charging	charg:charge_V ing:+PCP1
chase's	chase:chase_V 's:+GEN
chauvinism	chauvinism:chauvinism_N
cheerful	cheer:cheer_V ful:ful_s
cheerfully	cheer:cheer_V ful:ful_s ly:ly_s
chestnuts	chestnut:chestnut_N s:+PL
chigger	chigger:chigger_N
chivied	chivi:chivy_V ed:+PAST
citron's	citron:citron_N 's:+GEN
claws	claw:claw_N s:+PL, claw:claw_N s:+3SG
clay's	clay:clay_N 's:+GEN
clean-cut	clean:clean_A -:~ cut:cut_V
clews	clew:clew_N s:+PL, clew:clew_N s:+3SG
climaxes	climax:climax_N es:+PL, climax:climax_N es:+3SG
co-ops	co:co_p -:~ op:operate_V ~:ion_s ~:ive_s s:+PL
codas	coda:coda_N s:+PL
codeine	codeine:codeine_N
cognate	cognate:cognate_A, cognate:cognate_A
coincidences	coincid:coincide_V ~:ent_s ence:ence_s s:+PL
collapse	col:col_p lapse:lapse_N, col:col_p lapse:lapse_N
commingle	com:com_p mingle:mingle_V
community	commun:commune_N ~:al_s ity:ity_s
compensatory	compensat:compensate_V ~:ion_s ory:ory_s
completed	complet:complete_A ed:+PAST
complimented	compliment:compliment_V ed:+PAST
composing	compos:compose_V ing:+PCP1
compromises	compromise:compromise_V s:+PL, compromise:compromise_V s:+3SG
computations	comput:compute_V ation:ation_s s:+PL
conceits	conceit:conceit_N s:+PL
concession	concess:concede_V ion:ion_s
conciliating	conciliat:conciliate_V ing:+PCP1
concordant	concord:concord_N ant:ant_s
conferred	conferr:confer_V ed:+PAST
confinement	confine:confine_V ment:ment_s
confiscation	confiscat:confiscate_V ion:ion_s
conflated	conflat:conflate_V ed:+PAST
conformance	con:con_p form:form_N ance:ance_s
confusion	confus:confuse_V ion:ion_s
congress's	congress:Congress_N 's:+GEN, congress:congress_N 's:+GEN
conservationist's	conserv:conserve_V ation:ation_s ist:ist_s 's:+GEN
contempt	contempt:contempt_N
contingency	conting:contingent_A ency:ency_s
controls	control:control_V s:+PL, control:control_V s:+3SG
conversed	convers:converse_V ed:+PAST
convertibles	convert:convert_V ible:ible_s s:+PL
convicts	convict:convict_V s:+PL, convict:convict_V s:+3SG
coolie	coolie:coolie_N
corinthian	corinth:Corinth_N ian:ian_s, corinth:Corinth_N ian:ian_s
cornered	corner:corner_N ed:+PAST, cornered:cornered_V
cornstarch	corn:corn_N starch:starch_N
corralled	corrall:corral_N ed:+PAST
corroborated	corroborat:corroborate_V ed:+PAST
corsages	corsage:corsage_N s:+PL
corvette	corvette:corvette_N
cote's	cote:cote_N 's:+GEN
counterfeiting	counterfeit:counterfeit_A ing:+PCP1
coveting	covet:covet_V ing:+PCP1
cramped	cramp:cramp_N ed:+PAST, cramped:cramped_V
crayoning	crayon:crayon_N ing:+PCP1
creativeness	creat:create_V ~:ion_s ive:ive_s ness:ness_s
crematoria	cremat:cremate_V oria:orium_s ~:+PL
criers	cri:cry_V er:er_s s:+PL
criminal	crimin:crime_N al:al_s, crimin:crime_N al:al_s
criminally	crimin:crime_N al:al_s ly:ly_s
crocodile's	crocodile:crocodile_N 's:+GEN
crookedness	crooked:crooked_V ness:ness_s
cross-indexing	cross:cross_p -:~ index:index_N ing:+PCP1
crossings'	crossing:crossing_V s:+PL ':+GEN
crow	crow:crow_N, crow:crow_V, crow:crow_V
cul-de-sac's	cul-de-sac:cul-de-sac_N 's:+GEN
